Station 1,Station 2,Time
Acton Town,Ealing Common,2
Acton Town,South Ealing,3
Aldgate,Liverpool Street,3
Aldgate East,Tower Hill,3
Aldgate East,Liverpool Street,3
Alperton,Sudbury Town,3
Amersham,Chalfont & Latimer,4
Angel,Old Street,3
Archway,Tufnell Park,2
Arnos Grove,Bounds Green,2
Arsenal,Holloway Road,2
Baker Street,Regent's Park,2
Baker Street,Bond Street,2
Baker Street,Great Portland Street,2
Baker Street,Edgware Road,3
Balham,Tooting Bec,2
Bank,St. Paul's,2
Bank,London Bridge,2
Bank,Waterloo,5
Barbican,Farringdon,1
Barbican,Moorgate,2
Barking,East Ham,4
Barkingside,Newbury Park,2
Barons Court,Hammersmith,3
Bayswater,Paddington,2
Becontree,Upney,2
Belsize Park,Chalk Farm,2
Bermondsey,Canada Water,2
Bethnal Green,Liverpool Street,3
Blackfriars,Temple,1
Blackfriars,Mansion House,2
Blackhorse Road,Tottenham Hale,3
Bond Street,Marble Arch,2
Bond Street,Green Park,2
Borough,Elephant & Castle,2
Boston Manor,Osterley,3
Bounds Green,Wood Green,3
Bow Road,Mile End,2
Brent Cross,Golders Green,3
Bromley-by-Bow,Bow Road,2
Buckhurst Hill,Woodford,2
Burnt Oak,Colindale,2
Caledonian Road,King's Cross St. Pancras,4
Camden Town,Mornington Crescent,2
Canada Water,Canary Wharf,3
Canary Wharf,North Greenwich,3
Canning Town,West Ham,3
Cannon Street,Monument,1
Cannon Street,Mansion House,2
Canons Park,Queensbury,3
Chalfont & Latimer,Chorleywood,4
Chalk Farm,Camden Town,1
Chancery Lane,Holborn,1
Charing Cross,Embankment,1
Chesham,Chalfont & Latimer,9
Chigwell,Grange Hill,2
Chiswick Park,Acton Town,2
Chorleywood,Rickmansworth,4
Clapham Common,Clapham South,2
Clapham North,Clapham Common,2
Clapham South,Balham,2
Cockfosters,Oakwood,2
Colindale,Hendon Central,3
Colliers Wood,South Wimbledon,2
Covent Garden,Leicester Square,1
Croxley,Moor Park,4
Dagenham East,Dagenham Heathway,2
Dagenham Heathway,Becontree,3
Debden,Loughton,2
Dollis Hill,Willesden Green,2
Ealing Common,North Ealing,2
Ealing Common,Ealing Broadway,5
Earl's Court,West Brompton,2
Earl's Court,West Kensington,2
Earl's Court,Kensington (Olympia),3
Earl's Court,Barons Court,3
Earl's Court,High Street Kensington,5
East Acton,North Acton,2
East Finchley,Highgate,3
East Ham,Upton Park,2
East Putney,Southfields,2
Edgware,Burnt Oak,4
Edgware Road,Marylebone,1
Elephant & Castle,Kennington,2
Elm Park,Dagenham East,3
Embankment,Waterloo,2
Epping,Theydon Bois,3
Euston,Camden Town,4
Euston Square,King's Cross St. Pancras,2
Fairlop,Barkingside,2
Finchley Central,East Finchley,4
Finchley Road,Swiss Cottage,2
Finchley Road,Baker Street,5
Finsbury Park,Highbury & Islington,2
Finsbury Park Victoria,Arsenal,1
Fulham Broadway,Parsons Green,2
Gants Hill,Redbridge,2
Gloucester Road,Earl's Court,2
Golders Green,Hampstead,4
Goldhawk Road,Hammersmith,2
Goodge Street,Tottenham Court Road,1
Grange Hill,Hainault,5
Great Portland Street,Euston Square,2
Green Park,Westminster,2
Green Park,Hyde Park Corner,2
Green Park,Victoria,2
Greenford,Northolt,2
Gunnersbury,Kew Gardens,2
Hainault,Fairlop,2
Hammersmith,Ravenscourt Park,2
Hammersmith,Turnham Green,4
Hammersmith,Acton Town,8
Hampstead,Belsize Park,3
Hanger Lane,Perivale,3
Harlesden,Willesden Junction,2
Harrow & Wealdstone,Kenton,2
Harrow-on-the-Hill,North Harrow,3
Harrow-on-the-Hill,Northwick Park,3
Harrow-on-the-Hill,Wembley Park,9
Harrow-on-the-Hill,Finchley Road,16
Hatton Cross,Heathrow Terminal 4,3
Hatton Cross,"Heathrow Terminals 1, 2, 3",4
"Heathrow Terminals 1, 2, 3",Heathrow Terminal 5,4
Hendon Central,Brent Cross,2
High Barnet,Totteridge & Whetstone,4
High Street Kensington,Gloucester Road,3
Highbury & Islington,King's Cross St. Pancras,3
Highgate,Archway,3
Hillingdon,Uxbridge,4
Holborn,Tottenham,2
Holborn Central,Covent Garden,2
Holland Park,Shepherd's Bush,2
Holloway Road,Caledonian Road,2
Hornchurch,Elm Park,2
Hounslow Central,Hounslow West,3
Hounslow East,Hounslow Central,1
Hounslow West,Hatton Cross,4
Hyde Park Corner,Knightsbridge,2
Ickenham,Ruislip,2
Ickenham,Hillingdon,2
Kennington,Oval,3
Kensal Green,Queen's Park,2
Kentish Town,Camden Town,2
Kenton,South Kenton,2
Kew Gardens,Richmond,4
Kilburn,West Hampstead,2
Kilburn Park,Maida Vale,2
King's Cross St. Pancras,Farringdon,2
King's Cross St. Pancras,Russell Square,2
King's Cross St. Pancras,Euston,2
King's Cross St. Pancras,Angel,3
Kingsbury,Wembley Park,3
Knightsbridge,South Kensington,2
Ladbroke Grove,Latimer Road,2
Lambeth North,Elephant & Castle,3
Lancaster Gate,Queensway,2
Latimer Road,Wood Lane,2
Leicester Square,Charing Cross,1
Leicester Square,Piccadilly Circus,1
Leyton,Stratford,3
Leytonstone,Leyton,2
Liverpool Street,Bank,2
London Bridge,Bermondsey,2
London Bridge,Borough,2
Loughton,Buckhurst Hill,3
Maida Vale,Warwick Avenue,1
Manor House,Finsbury Park Victoria,2
Marble Arch,Lancaster Gate,3
Marylebone,Baker Street,2
Mile End,Bethnal Green,2
Mile End,Stepney Green,2
Mill Hill East,Finchley Central,4
Moor Park,Harrow-on-the-Hill,14
Moorgate,Liverpool Street,2
Moorgate,Bank,2
Mornington Crescent,Euston,2
Neasden,Dollis Hill,2
Newbury Park,Gants Hill,3
North Acton,West Acton,2
North Acton,Hanger Lane,3
North Ealing,Park Royal,2
North Greenwich,Canning Town,3
North Harrow,Pinner,2
North Wembley,Wembley Central,2
Northfields,Boston Manor,2
Northolt,South Ruislip,3
Northwick Park,Preston Road,3
Northwood,Moor Park,3
Northwood Hills,Northwood,3
Notting Hill Gate,Holland Park,1
Notting Hill Gate,High Street Kensington,2
Notting Hill Gate,Bayswater,2
Oakwood,Southgate,3
Old Street,Moorgate,2
Osterley,Hounslow East,2
